"FIN","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"13.06.2018 01:00 - 13.06.2018 02:00","7447","7506"
"13.06.2018 02:00 - 13.06.2018 03:00","7312","7418"
"13.06.2018 03:00 - 13.06.2018 04:00","7248","7430"
"13.06.2018 04:00 - 13.06.2018 05:00","7442","7622"
"13.06.2018 05:00 - 13.06.2018 06:00","8182","8258"
"13.06.2018 06:00 - 13.06.2018 07:00","8693","8753"
"13.06.2018 07:00 - 13.06.2018 08:00","8965","8932"
"13.06.2018 08:00 - 13.06.2018 09:00","9069","9009"
"13.06.2018 09:00 - 13.06.2018 10:00","9076","9059"
"13.06.2018 10:00 - 13.06.2018 11:00","9108","8985"
"13.06.2018 11:00 - 13.06.2018 12:00","9135","8963"
"13.06.2018 12:00 - 13.06.2018 13:00","9084","8888"
"13.06.2018 13:00 - 13.06.2018 14:00","8999","8845"
"13.06.2018 14:00 - 13.06.2018 15:00","8945","8810"
"13.06.2018 15:00 - 13.06.2018 16:00","8843","8860"
"13.06.2018 16:00 - 13.06.2018 17:00","8818","8900"
"13.06.2018 17:00 - 13.06.2018 18:00","8732","8878"
"13.06.2018 18:00 - 13.06.2018 19:00","8764","8975"
"13.06.2018 19:00 - 13.06.2018 20:00","8717","8941"
"13.06.2018 20:00 - 13.06.2018 21:00","8428","8580"
"13.06.2018 21:00 - 13.06.2018 22:00","8422","8509"
"13.06.2018 22:00 - 13.06.2018 23:00","8350","8411"
"13.06.2018 23:00 - 14.06.2018 00:00","8309","8063"
"14.06.2018 00:00 - 14.06.2018 01:00","7984","7697"
"14.06.2018 01:00 - 14.06.2018 02:00","7788","7570"
"14.06.2018 02:00 - 14.06.2018 03:00","7655","7445"
"14.06.2018 03:00 - 14.06.2018 04:00","7584","7417"
"14.06.2018 04:00 - 14.06.2018 05:00","7788","7621"
"14.06.2018 05:00 - 14.06.2018 06:00","8503","8224"
"14.06.2018 06:00 - 14.06.2018 07:00","8976","8577"
"14.06.2018 07:00 - 14.06.2018 08:00","9207","8826"
"14.06.2018 08:00 - 14.06.2018 09:00","9263","8988"
"14.06.2018 09:00 - 14.06.2018 10:00","9253","8993"
"14.06.2018 10:00 - 14.06.2018 11:00","9264","9053"
"14.06.2018 11:00 - 14.06.2018 12:00","9279","9109"
"14.06.2018 12:00 - 14.06.2018 13:00","9196","9095"
"14.06.2018 13:00 - 14.06.2018 14:00","9109","9063"
"14.06.2018 14:00 - 14.06.2018 15:00","9037","8960"
"14.06.2018 15:00 - 14.06.2018 16:00","8957","8886"
"14.06.2018 16:00 - 14.06.2018 17:00","8933","8770"
"14.06.2018 17:00 - 14.06.2018 18:00","8839","8725"
"14.06.2018 18:00 - 14.06.2018 19:00","8872","8760"
"14.06.2018 19:00 - 14.06.2018 20:00","8833","8672"
"14.06.2018 20:00 - 14.06.2018 21:00","8536","8339"
"14.06.2018 21:00 - 14.06.2018 22:00","8511","8219"
"14.06.2018 22:00 - 14.06.2018 23:00","8421","8062"
"14.06.2018 23:00 - 15.06.2018 00:00","8103","7697"
"15.06.2018 00:00 - 15.06.2018 01:00","7782","7309"
"15.06.2018 01:00 - 15.06.2018 02:00","7579","7081"
"15.06.2018 02:00 - 15.06.2018 03:00","7453","6968"
"15.06.2018 03:00 - 15.06.2018 04:00","7383","7011"
"15.06.2018 04:00 - 15.06.2018 05:00","7573","7198"
"15.06.2018 05:00 - 15.06.2018 06:00","8269","7935"
"15.06.2018 06:00 - 15.06.2018 07:00","8796","8475"
"15.06.2018 07:00 - 15.06.2018 08:00","9101","8709"
"15.06.2018 08:00 - 15.06.2018 09:00","9285","8830"
"15.06.2018 09:00 - 15.06.2018 10:00","9294","8860"
"15.06.2018 10:00 - 15.06.2018 11:00","9296","8939"
"15.06.2018 11:00 - 15.06.2018 12:00","9291","8980"
"15.06.2018 12:00 - 15.06.2018 13:00","9188","8919"
"15.06.2018 13:00 - 15.06.2018 14:00","9092","8825"
"15.06.2018 14:00 - 15.06.2018 15:00","9000","8878"
"15.06.2018 15:00 - 15.06.2018 16:00","8908","8831"
"15.06.2018 16:00 - 15.06.2018 17:00","8855","8770"
"15.06.2018 17:00 - 15.06.2018 18:00","8785","8668"
"15.06.2018 18:00 - 15.06.2018 19:00","8767","8696"
"15.06.2018 19:00 - 15.06.2018 20:00","8693","8586"
"15.06.2018 20:00 - 15.06.2018 21:00","8373","8162"
"15.06.2018 21:00 - 15.06.2018 22:00","8369","8117"
"15.06.2018 22:00 - 15.06.2018 23:00","8284","7914"
"15.06.2018 23:00 - 16.06.2018 00:00","7769","7519"
"16.06.2018 00:00 - 16.06.2018 01:00","7423","7309"
"16.06.2018 01:00 - 16.06.2018 02:00","7197","7157"
"16.06.2018 02:00 - 16.06.2018 03:00","7043","6914"
"16.06.2018 03:00 - 16.06.2018 04:00","6943","6920"
"16.06.2018 04:00 - 16.06.2018 05:00","6996","7014"
"16.06.2018 05:00 - 16.06.2018 06:00","7233","7216"
"16.06.2018 06:00 - 16.06.2018 07:00","7421","7409"
"16.06.2018 07:00 - 16.06.2018 08:00","7707","7710"
"16.06.2018 08:00 - 16.06.2018 09:00","7900","7947"
"16.06.2018 09:00 - 16.06.2018 10:00","8033","8045"
"16.06.2018 10:00 - 16.06.2018 11:00","8099","8020"
"16.06.2018 11:00 - 16.06.2018 12:00","8108","7976"
"16.06.2018 12:00 - 16.06.2018 13:00","8080","7977"
"16.06.2018 13:00 - 16.06.2018 14:00","8013","7904"
"16.06.2018 14:00 - 16.06.2018 15:00","8049","7932"
"16.06.2018 15:00 - 16.06.2018 16:00","8090","7969"
"16.06.2018 16:00 - 16.06.2018 17:00","8160","7966"
"16.06.2018 17:00 - 16.06.2018 18:00","8210","8002"
"16.06.2018 18:00 - 16.06.2018 19:00","8281","8074"
"16.06.2018 19:00 - 16.06.2018 20:00","8160","8000"
"16.06.2018 20:00 - 16.06.2018 21:00","7906","7760"
"16.06.2018 21:00 - 16.06.2018 22:00","8021","7847"
"16.06.2018 22:00 - 16.06.2018 23:00","7987","7762"
"16.06.2018 23:00 - 17.06.2018 00:00","7572","7440"
"17.06.2018 00:00 - 17.06.2018 01:00","7256","7163"
"17.06.2018 01:00 - 17.06.2018 02:00","7024","6972"
"17.06.2018 02:00 - 17.06.2018 03:00","6862","6876"
"17.06.2018 03:00 - 17.06.2018 04:00","6738","6747"
"17.06.2018 04:00 - 17.06.2018 05:00","6729","6759"
"17.06.2018 05:00 - 17.06.2018 06:00","6882","6943"
"17.06.2018 06:00 - 17.06.2018 07:00","7013","7066"
"17.06.2018 07:00 - 17.06.2018 08:00","7232","7285"
"17.06.2018 08:00 - 17.06.2018 09:00","7462","7463"
"17.06.2018 09:00 - 17.06.2018 10:00","7638","7652"
"17.06.2018 10:00 - 17.06.2018 11:00","7767","7772"
"17.06.2018 11:00 - 17.06.2018 12:00","7798","7761"
"17.06.2018 12:00 - 17.06.2018 13:00","7759","7677"
"17.06.2018 13:00 - 17.06.2018 14:00","7737","7602"
"17.06.2018 14:00 - 17.06.2018 15:00","7721","7661"
"17.06.2018 15:00 - 17.06.2018 16:00","7737","7689"
"17.06.2018 16:00 - 17.06.2018 17:00","7799","7784"
"17.06.2018 17:00 - 17.06.2018 18:00","7838","7820"
"17.06.2018 18:00 - 17.06.2018 19:00","7943","7895"
"17.06.2018 19:00 - 17.06.2018 20:00","7926","7903"
"17.06.2018 20:00 - 17.06.2018 21:00","7725","7730"
"17.06.2018 21:00 - 17.06.2018 22:00","7899","7876"
"17.06.2018 22:00 - 17.06.2018 23:00","7891","7796"
"17.06.2018 23:00 - 18.06.2018 00:00","7595","7432"
"18.06.2018 00:00 - 18.06.2018 01:00","7284","7065"
"18.06.2018 01:00 - 18.06.2018 02:00","7069","6813"
"18.06.2018 02:00 - 18.06.2018 03:00","6912","6708"
"18.06.2018 03:00 - 18.06.2018 04:00","6876","6698"
"18.06.2018 04:00 - 18.06.2018 05:00","7080","6939"
"18.06.2018 05:00 - 18.06.2018 06:00","7813","7711"
"18.06.2018 06:00 - 18.06.2018 07:00","8396","8245"
"18.06.2018 07:00 - 18.06.2018 08:00","8683","8542"
"18.06.2018 08:00 - 18.06.2018 09:00","8834","8740"
"18.06.2018 09:00 - 18.06.2018 10:00","8876","8886"
"18.06.2018 10:00 - 18.06.2018 11:00","8882","8899"
"18.06.2018 11:00 - 18.06.2018 12:00","8878","8954"
"18.06.2018 12:00 - 18.06.2018 13:00","8810","8934"
"18.06.2018 13:00 - 18.06.2018 14:00","8735","8826"
"18.06.2018 14:00 - 18.06.2018 15:00","8690","8711"
"18.06.2018 15:00 - 18.06.2018 16:00","8583","8666"
"18.06.2018 16:00 - 18.06.2018 17:00","8565","8551"
"18.06.2018 17:00 - 18.06.2018 18:00","8484","8515"
"18.06.2018 18:00 - 18.06.2018 19:00","8533","8544"
"18.06.2018 19:00 - 18.06.2018 20:00","8500","8410"
"18.06.2018 20:00 - 18.06.2018 21:00","8198","8129"
"18.06.2018 21:00 - 18.06.2018 22:00","8194","8174"
"18.06.2018 22:00 - 18.06.2018 23:00","8110","8020"
"18.06.2018 23:00 - 19.06.2018 00:00","7256","7584"
"19.06.2018 00:00 - 19.06.2018 01:00","6899","7151"
"19.06.2018 01:00 - 19.06.2018 02:00","6661","6959"
"19.06.2018 02:00 - 19.06.2018 03:00","6526","6714"
"19.06.2018 03:00 - 19.06.2018 04:00","6487","6674"
"19.06.2018 04:00 - 19.06.2018 05:00","6750","6926"
"19.06.2018 05:00 - 19.06.2018 06:00","7508","7579"
"19.06.2018 06:00 - 19.06.2018 07:00","8088","8155"
"19.06.2018 07:00 - 19.06.2018 08:00","8356","8459"
"19.06.2018 08:00 - 19.06.2018 09:00","8501","8557"
"19.06.2018 09:00 - 19.06.2018 10:00","8582","8637"
"19.06.2018 10:00 - 19.06.2018 11:00","8650","8729"
"19.06.2018 11:00 - 19.06.2018 12:00","8668","8812"
"19.06.2018 12:00 - 19.06.2018 13:00","8596","8759"
"19.06.2018 13:00 - 19.06.2018 14:00","8431","8702"
"19.06.2018 14:00 - 19.06.2018 15:00","8365","8635"
"19.06.2018 15:00 - 19.06.2018 16:00","8189","8443"
"19.06.2018 16:00 - 19.06.2018 17:00","8173","8359"
"19.06.2018 17:00 - 19.06.2018 18:00","8051","8260"
"19.06.2018 18:00 - 19.06.2018 19:00","8095","8226"
"19.06.2018 19:00 - 19.06.2018 20:00","8046","8126"
"19.06.2018 20:00 - 19.06.2018 21:00","7703","7830"
"19.06.2018 21:00 - 19.06.2018 22:00","7709","7862"
"19.06.2018 22:00 - 19.06.2018 23:00","7603","7670"
"19.06.2018 23:00 - 20.06.2018 00:00","7135","7330"
"20.06.2018 00:00 - 20.06.2018 01:00","6827","6918"
"20.06.2018 01:00 - 20.06.2018 02:00","6585","6680"
"20.06.2018 02:00 - 20.06.2018 03:00","6384","6555"
"20.06.2018 03:00 - 20.06.2018 04:00","6370","6557"
"20.06.2018 04:00 - 20.06.2018 05:00","6577","6814"
"20.06.2018 05:00 - 20.06.2018 06:00","7333","7489"
"20.06.2018 06:00 - 20.06.2018 07:00","7900","7933"
"20.06.2018 07:00 - 20.06.2018 08:00","8165","8191"
"20.06.2018 08:00 - 20.06.2018 09:00","8305","8297"
"20.06.2018 09:00 - 20.06.2018 10:00","8411","8388"
"20.06.2018 10:00 - 20.06.2018 11:00","8380","8479"
"20.06.2018 11:00 - 20.06.2018 12:00","8392","8576"
"20.06.2018 12:00 - 20.06.2018 13:00","8319","8319"
"20.06.2018 13:00 - 20.06.2018 14:00","8217","8217"
"20.06.2018 14:00 - 20.06.2018 15:00","8122","8234"
"20.06.2018 15:00 - 20.06.2018 16:00","8003","8172"
"20.06.2018 16:00 - 20.06.2018 17:00","7931","8144"
"20.06.2018 17:00 - 20.06.2018 18:00","7926","8033"
"20.06.2018 18:00 - 20.06.2018 19:00","7957","8052"
"20.06.2018 19:00 - 20.06.2018 20:00","7919","8175"
"20.06.2018 20:00 - 20.06.2018 21:00","7600","7887"
"20.06.2018 21:00 - 20.06.2018 22:00","7594","7916"
"20.06.2018 22:00 - 20.06.2018 23:00","7478","7707"
"20.06.2018 23:00 - 21.06.2018 00:00","7124","7287"
"21.06.2018 00:00 - 21.06.2018 01:00","6772","6954"
"21.06.2018 01:00 - 21.06.2018 02:00","6575","6732"
"21.06.2018 02:00 - 21.06.2018 03:00","6368","6662"
"21.06.2018 03:00 - 21.06.2018 04:00","6295","6579"
"21.06.2018 04:00 - 21.06.2018 05:00","6504","6839"
"21.06.2018 05:00 - 21.06.2018 06:00","7276","7446"
"21.06.2018 06:00 - 21.06.2018 07:00","7811","7922"
"21.06.2018 07:00 - 21.06.2018 08:00","8049","8269"
"21.06.2018 08:00 - 21.06.2018 09:00","8215","8360"
"21.06.2018 09:00 - 21.06.2018 10:00","8314","8392"
"21.06.2018 10:00 - 21.06.2018 11:00","8390","8399"
"21.06.2018 11:00 - 21.06.2018 12:00","8405","8494"
"21.06.2018 12:00 - 21.06.2018 13:00","8244","8381"
"21.06.2018 13:00 - 21.06.2018 14:00","7985","8205"
"21.06.2018 14:00 - 21.06.2018 15:00","7895","8156"
"21.06.2018 15:00 - 21.06.2018 16:00","7830","8065"
"21.06.2018 16:00 - 21.06.2018 17:00","7783","8073"
"21.06.2018 17:00 - 21.06.2018 18:00","7766","7955"
"21.06.2018 18:00 - 21.06.2018 19:00","7770","7967"
"21.06.2018 19:00 - 21.06.2018 20:00","7632","7876"
"21.06.2018 20:00 - 21.06.2018 21:00","7330","7573"
"21.06.2018 21:00 - 21.06.2018 22:00","7372","7641"
"21.06.2018 22:00 - 21.06.2018 23:00","7282","7514"
"21.06.2018 23:00 - 22.06.2018 00:00","7111","7071"
"22.06.2018 00:00 - 22.06.2018 01:00","6782","6770"
"22.06.2018 01:00 - 22.06.2018 02:00","6493","6640"
"22.06.2018 02:00 - 22.06.2018 03:00","6437","6501"
"22.06.2018 03:00 - 22.06.2018 04:00","6346","6391"
"22.06.2018 04:00 - 22.06.2018 05:00","6452","6460"
"22.06.2018 05:00 - 22.06.2018 06:00","6592","6694"
"22.06.2018 06:00 - 22.06.2018 07:00","6837","6868"
"22.06.2018 07:00 - 22.06.2018 08:00","7101","7123"
"22.06.2018 08:00 - 22.06.2018 09:00","7216","7377"
"22.06.2018 09:00 - 22.06.2018 10:00","7372","7559"
"22.06.2018 10:00 - 22.06.2018 11:00","7454","7616"
"22.06.2018 11:00 - 22.06.2018 12:00","7359","7647"
"22.06.2018 12:00 - 22.06.2018 13:00","7244","7695"
"22.06.2018 13:00 - 22.06.2018 14:00","7218","7581"
"22.06.2018 14:00 - 22.06.2018 15:00","7212","7644"
"22.06.2018 15:00 - 22.06.2018 16:00","7224","7754"
"22.06.2018 16:00 - 22.06.2018 17:00","7266","7704"
"22.06.2018 17:00 - 22.06.2018 18:00","7226","7621"
"22.06.2018 18:00 - 22.06.2018 19:00","7162","7609"
"22.06.2018 19:00 - 22.06.2018 20:00","7039","7464"
"22.06.2018 20:00 - 22.06.2018 21:00","6825","7222"
"22.06.2018 21:00 - 22.06.2018 22:00","7081","7410"
"22.06.2018 22:00 - 22.06.2018 23:00","7137","7454"
"22.06.2018 23:00 - 23.06.2018 00:00","7066","7182"
"23.06.2018 00:00 - 23.06.2018 01:00","6835","6854"
"23.06.2018 01:00 - 23.06.2018 02:00","6604","6626"
"23.06.2018 02:00 - 23.06.2018 03:00","6404","6503"
"23.06.2018 03:00 - 23.06.2018 04:00","6290","6414"
"23.06.2018 04:00 - 23.06.2018 05:00","6282","6400"
"23.06.2018 05:00 - 23.06.2018 06:00","6432","6449"
"23.06.2018 06:00 - 23.06.2018 07:00","6475","6560"
"23.06.2018 07:00 - 23.06.2018 08:00","6629","6741"
"23.06.2018 08:00 - 23.06.2018 09:00","6796","6899"
"23.06.2018 09:00 - 23.06.2018 10:00","6941","6987"
"23.06.2018 10:00 - 23.06.2018 11:00","7033","7105"
"23.06.2018 11:00 - 23.06.2018 12:00","7021","7100"
"23.06.2018 12:00 - 23.06.2018 13:00","7035","7010"
"23.06.2018 13:00 - 23.06.2018 14:00","7049","7036"
"23.06.2018 14:00 - 23.06.2018 15:00","7096","7005"
"23.06.2018 15:00 - 23.06.2018 16:00","7145","7134"
"23.06.2018 16:00 - 23.06.2018 17:00","7184","7145"
"23.06.2018 17:00 - 23.06.2018 18:00","7182","7237"
"23.06.2018 18:00 - 23.06.2018 19:00","7231","7300"
"23.06.2018 19:00 - 23.06.2018 20:00","7141","7294"
"23.06.2018 20:00 - 23.06.2018 21:00","7092","7097"
"23.06.2018 21:00 - 23.06.2018 22:00","7234","7221"
"23.06.2018 22:00 - 23.06.2018 23:00","7235","7216"
"23.06.2018 23:00 - 24.06.2018 00:00","6873","7029"
"24.06.2018 00:00 - 24.06.2018 01:00","6558","6780"
"24.06.2018 01:00 - 24.06.2018 02:00","6350","6501"
"24.06.2018 02:00 - 24.06.2018 03:00","6196","6426"
"24.06.2018 03:00 - 24.06.2018 04:00","6055","6348"
"24.06.2018 04:00 - 24.06.2018 05:00","6096","6349"
"24.06.2018 05:00 - 24.06.2018 06:00","6223","6425"
"24.06.2018 06:00 - 24.06.2018 07:00","6365","6481"
"24.06.2018 07:00 - 24.06.2018 08:00","6531","6605"
"24.06.2018 08:00 - 24.06.2018 09:00","6734","6759"
"24.06.2018 09:00 - 24.06.2018 10:00","6978","6876"
"24.06.2018 10:00 - 24.06.2018 11:00","7084","6967"
"24.06.2018 11:00 - 24.06.2018 12:00","7132","7020"
"24.06.2018 12:00 - 24.06.2018 13:00","7099","6964"
"24.06.2018 13:00 - 24.06.2018 14:00","7120","6998"
"24.06.2018 14:00 - 24.06.2018 15:00","7121","7042"
"24.06.2018 15:00 - 24.06.2018 16:00","7202","7122"
"24.06.2018 16:00 - 24.06.2018 17:00","7296","7138"
"24.06.2018 17:00 - 24.06.2018 18:00","7318","7178"
"24.06.2018 18:00 - 24.06.2018 19:00","7424","7295"
"24.06.2018 19:00 - 24.06.2018 20:00","7400","7327"
"24.06.2018 20:00 - 24.06.2018 21:00","7263","7116"
"24.06.2018 21:00 - 24.06.2018 22:00","7372","7404"
"24.06.2018 22:00 - 24.06.2018 23:00","7458","7374"
"24.06.2018 23:00 - 25.06.2018 00:00","6977","7083"
"25.06.2018 00:00 - 25.06.2018 01:00","6636","6823"
"25.06.2018 01:00 - 25.06.2018 02:00","6386","6690"
"25.06.2018 02:00 - 25.06.2018 03:00","6285","6546"
"25.06.2018 03:00 - 25.06.2018 04:00","6277","6558"
"25.06.2018 04:00 - 25.06.2018 05:00","6523","6744"
"25.06.2018 05:00 - 25.06.2018 06:00","7239","7421"
"25.06.2018 06:00 - 25.06.2018 07:00","7834","7901"
"25.06.2018 07:00 - 25.06.2018 08:00","8300","8160"
"25.06.2018 08:00 - 25.06.2018 09:00","8571","8334"
"25.06.2018 09:00 - 25.06.2018 10:00","8610","8438"
"25.06.2018 10:00 - 25.06.2018 11:00","8646","8540"
"25.06.2018 11:00 - 25.06.2018 12:00","8718","8544"
"25.06.2018 12:00 - 25.06.2018 13:00","8660","8467"
"25.06.2018 13:00 - 25.06.2018 14:00","8569","8403"
"25.06.2018 14:00 - 25.06.2018 15:00","8420","8311"
"25.06.2018 15:00 - 25.06.2018 16:00","8278","8147"
"25.06.2018 16:00 - 25.06.2018 17:00","8209","8110"
"25.06.2018 17:00 - 25.06.2018 18:00","8182","8070"
"25.06.2018 18:00 - 25.06.2018 19:00","8238","8125"
"25.06.2018 19:00 - 25.06.2018 20:00","8188","8077"
"25.06.2018 20:00 - 25.06.2018 21:00","7906","7742"
"25.06.2018 21:00 - 25.06.2018 22:00","7890","7854"
"25.06.2018 22:00 - 25.06.2018 23:00","7856","7736"
"25.06.2018 23:00 - 26.06.2018 00:00","7405","7443"
"26.06.2018 00:00 - 26.06.2018 01:00","7096","7129"
"26.06.2018 01:00 - 26.06.2018 02:00","6931","6988"
"26.06.2018 02:00 - 26.06.2018 03:00","6809","6850"
"26.06.2018 03:00 - 26.06.2018 04:00","6765","6850"
"26.06.2018 04:00 - 26.06.2018 05:00","6968","6982"
"26.06.2018 05:00 - 26.06.2018 06:00","7740","7567"
"26.06.2018 06:00 - 26.06.2018 07:00","8286","7981"
"26.06.2018 07:00 - 26.06.2018 08:00","8544","8316"
"26.06.2018 08:00 - 26.06.2018 09:00","8693","8494"
"26.06.2018 09:00 - 26.06.2018 10:00","8697","8583"
"26.06.2018 10:00 - 26.06.2018 11:00","8756","8635"
"26.06.2018 11:00 - 26.06.2018 12:00","8790","8665"
"26.06.2018 12:00 - 26.06.2018 13:00","8725","8628"
"26.06.2018 13:00 - 26.06.2018 14:00","8582","8753"
"26.06.2018 14:00 - 26.06.2018 15:00","8511","8730"
"26.06.2018 15:00 - 26.06.2018 16:00","8488","8573"
"26.06.2018 16:00 - 26.06.2018 17:00","8351","8558"
"26.06.2018 17:00 - 26.06.2018 18:00","8278","8468"
"26.06.2018 18:00 - 26.06.2018 19:00","8363","8549"
"26.06.2018 19:00 - 26.06.2018 20:00","8330","8498"
"26.06.2018 20:00 - 26.06.2018 21:00","8025","8234"
"26.06.2018 21:00 - 26.06.2018 22:00","8014","8281"
"26.06.2018 22:00 - 26.06.2018 23:00","7923","8124"
"26.06.2018 23:00 - 27.06.2018 00:00","7565","7710"
"27.06.2018 00:00 - 27.06.2018 01:00","7269","7426"
"27.06.2018 01:00 - 27.06.2018 02:00","7060","7218"
"27.06.2018 02:00 - 27.06.2018 03:00","6898","7074"
"27.06.2018 03:00 - 27.06.2018 04:00","6855","7044"
"27.06.2018 04:00 - 27.06.2018 05:00","7093","7263"
"27.06.2018 05:00 - 27.06.2018 06:00","7821","7873"
"27.06.2018 06:00 - 27.06.2018 07:00","8404","8435"
"27.06.2018 07:00 - 27.06.2018 08:00","8670","8665"
"27.06.2018 08:00 - 27.06.2018 09:00","8871","8859"
"27.06.2018 09:00 - 27.06.2018 10:00","8951","8915"
"27.06.2018 10:00 - 27.06.2018 11:00","8936","8930"
"27.06.2018 11:00 - 27.06.2018 12:00","8876","8997"
"27.06.2018 12:00 - 27.06.2018 13:00","8821","8979"
"27.06.2018 13:00 - 27.06.2018 14:00","8784","8935"
"27.06.2018 14:00 - 27.06.2018 15:00","8611","8900"
"27.06.2018 15:00 - 27.06.2018 16:00","8495","8806"
"27.06.2018 16:00 - 27.06.2018 17:00","8488","8816"
"27.06.2018 17:00 - 27.06.2018 18:00","8451","8723"
"27.06.2018 18:00 - 27.06.2018 19:00","8483","8729"
"27.06.2018 19:00 - 27.06.2018 20:00","8428","8631"
"27.06.2018 20:00 - 27.06.2018 21:00","8075","8313"
"27.06.2018 21:00 - 27.06.2018 22:00","8111","8360"
"27.06.2018 22:00 - 27.06.2018 23:00","8046","8170"
"27.06.2018 23:00 - 28.06.2018 00:00","7773","7825"
"28.06.2018 00:00 - 28.06.2018 01:00","7454","7477"
"28.06.2018 01:00 - 28.06.2018 02:00","7248","7189"
"28.06.2018 02:00 - 28.06.2018 03:00","7134","7153"
"28.06.2018 03:00 - 28.06.2018 04:00","7052","7094"
"28.06.2018 04:00 - 28.06.2018 05:00","7229","7298"
"28.06.2018 05:00 - 28.06.2018 06:00","7868","7878"
"28.06.2018 06:00 - 28.06.2018 07:00","8301","8420"
"28.06.2018 07:00 - 28.06.2018 08:00","8548","8690"
"28.06.2018 08:00 - 28.06.2018 09:00","8658","8905"
"28.06.2018 09:00 - 28.06.2018 10:00","8674","8990"
"28.06.2018 10:00 - 28.06.2018 11:00","8704","9110"
"28.06.2018 11:00 - 28.06.2018 12:00","8723","9122"
"28.06.2018 12:00 - 28.06.2018 13:00","8682","9139"
"28.06.2018 13:00 - 28.06.2018 14:00","8619","9055"
"28.06.2018 14:00 - 28.06.2018 15:00","8573","9000"
"28.06.2018 15:00 - 28.06.2018 16:00","8505","8948"
"28.06.2018 16:00 - 28.06.2018 17:00","8466","8896"
"28.06.2018 17:00 - 28.06.2018 18:00","8421","8730"
"28.06.2018 18:00 - 28.06.2018 19:00","8485","8745"
"28.06.2018 19:00 - 28.06.2018 20:00","8455","8716"
"28.06.2018 20:00 - 28.06.2018 21:00","8169","8433"
"28.06.2018 21:00 - 28.06.2018 22:00","8207","8484"
"28.06.2018 22:00 - 28.06.2018 23:00","8117","8337"
"28.06.2018 23:00 - 29.06.2018 00:00","7820","7970"
"29.06.2018 00:00 - 29.06.2018 01:00","7476","7575"
"29.06.2018 01:00 - 29.06.2018 02:00","7247","7411"
"29.06.2018 02:00 - 29.06.2018 03:00","7117","7326"
"29.06.2018 03:00 - 29.06.2018 04:00","7030","7284"
"29.06.2018 04:00 - 29.06.2018 05:00","7212","7529"
"29.06.2018 05:00 - 29.06.2018 06:00","7893","8120"
"29.06.2018 06:00 - 29.06.2018 07:00","8431","8639"
"29.06.2018 07:00 - 29.06.2018 08:00","8779","8917"
"29.06.2018 08:00 - 29.06.2018 09:00","8994","9100"
"29.06.2018 09:00 - 29.06.2018 10:00","9037","9292"
"29.06.2018 10:00 - 29.06.2018 11:00","9101","9354"
"29.06.2018 11:00 - 29.06.2018 12:00","9094","9329"
"29.06.2018 12:00 - 29.06.2018 13:00","9045","9285"
"29.06.2018 13:00 - 29.06.2018 14:00","8950","9146"
"29.06.2018 14:00 - 29.06.2018 15:00","8915","9172"
"29.06.2018 15:00 - 29.06.2018 16:00","8862","9049"
"29.06.2018 16:00 - 29.06.2018 17:00","8845","8931"
"29.06.2018 17:00 - 29.06.2018 18:00","8763","8930"
"29.06.2018 18:00 - 29.06.2018 19:00","8775","8974"
"29.06.2018 19:00 - 29.06.2018 20:00","8697","8898"
"29.06.2018 20:00 - 29.06.2018 21:00","8369","8521"
"29.06.2018 21:00 - 29.06.2018 22:00","8424","8552"
"29.06.2018 22:00 - 29.06.2018 23:00","8337","8347"
"29.06.2018 23:00 - 30.06.2018 00:00","7938","7975"
"30.06.2018 00:00 - 30.06.2018 01:00","7602","7641"
"30.06.2018 01:00 - 30.06.2018 02:00","7398","7477"
"30.06.2018 02:00 - 30.06.2018 03:00","7244","7315"
"30.06.2018 03:00 - 30.06.2018 04:00","7157","7271"
"30.06.2018 04:00 - 30.06.2018 05:00","7198","7311"
"30.06.2018 05:00 - 30.06.2018 06:00","7423","7505"
"30.06.2018 06:00 - 30.06.2018 07:00","7629","7608"
"30.06.2018 07:00 - 30.06.2018 08:00","7928","7794"
"30.06.2018 08:00 - 30.06.2018 09:00","8173","7976"
"30.06.2018 09:00 - 30.06.2018 10:00","8307","8143"
"30.06.2018 10:00 - 30.06.2018 11:00","8335","8261"
"30.06.2018 11:00 - 30.06.2018 12:00","8314","8260"
"30.06.2018 12:00 - 30.06.2018 13:00","8289","8249"
"30.06.2018 13:00 - 30.06.2018 14:00","8222","8204"
"30.06.2018 14:00 - 30.06.2018 15:00","8250","8185"
"30.06.2018 15:00 - 30.06.2018 16:00","8289","8248"
"30.06.2018 16:00 - 30.06.2018 17:00","8342","8312"
"30.06.2018 17:00 - 30.06.2018 18:00","8369","8363"
"30.06.2018 18:00 - 30.06.2018 19:00","8433","8541"
"30.06.2018 19:00 - 30.06.2018 20:00","8326","8410"
"30.06.2018 20:00 - 30.06.2018 21:00","8070","8126"
"30.06.2018 21:00 - 30.06.2018 22:00","8215","8256"
"30.06.2018 22:00 - 30.06.2018 23:00","8181","8136"
"30.06.2018 23:00 - 01.07.2018 00:00","7703","7825"
"01.07.2018 00:00 - 01.07.2018 01:00","7373","7547"
"01.07.2018 01:00 - 01.07.2018 02:00","7142","7348"
"01.07.2018 02:00 - 01.07.2018 03:00","6978","7194"
"01.07.2018 03:00 - 01.07.2018 04:00","6838","7118"
